"farmer_ID","trader_ID","MCC_ID","today","district","farmer.tot_prod","farmer.tot_sold","farmer.tot_sold_trader","farmer.trader_link","farmer.rejected_week","farmer.rejected_month","farmer.bett_prc","farmer.used_bran","farmer.used_residu","farmer.used_lick","farmer.used_cgrazing","treat","q_sold_1","q_sold_2","q_sold_3","q_sold_4","q_sold_5","q_sold_6","checked_1","checked_2","checked_3","checked_4","checked_5","checked_6","checked_how_1","checked_how_2","checked_how_3","checked_how_4","checked_how_5","checked_how_6","p_sold_1","p_sold_2","p_sold_3","p_sold_4","p_sold_5","p_sold_6"
"F_345","T_014","MCC_014","2025-12-04","Kiruhura",80,70,70,6,0,0,2,2,2,2,2,0,68,60,75,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,"Lactometer",NA,NA,NA,900,900,1000,NA,NA,NA
"F_067","T_014","MCC_014","2025-12-04","Kiruhura",20,15,15,5,0,0,2,2,2,2,2,0,12,12,15,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_215","T_014","MCC_014","2025-12-04","Kiruhura",70,50,50,1,0,0,2,2,2,2,2,0,50,40,50,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_340","T_014","MCC_014","2025-12-05","Kiruhura",70,20,20,3,0,0,2,2,2,2,2,0,20,25,25,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,950,950,950,NA,NA,NA
"F_309","T_014","MCC_014","2025-12-04","Kiruhura",8,4,4,4,0,0,2,2,2,2,2,0,8,8,8,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_048","T_014","MCC_014","2025-12-04","Kiruhura",30,25,25,1,0,0,2,2,2,1,1,0,25,23,25,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,1000,950,900,NA,NA,NA
"F_300","T_015","MCC_009","2025-12-04","Kiruhura",100,90,90,6,0,0,2,2,2,2,2,0,90,90,85,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_018","T_015","MCC_009","2025-12-04","Kiruhura",150,122,122,6,0,0,2,1,2,1,2,0,122,116,118,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_121","T_015","MCC_009","2025-12-04","Kiruhura",100,80,80,6,0,1,2,2,2,2,1,0,90,85,80,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_379","T_015","MCC_009","2025-12-04","Kiruhura",250,200,200,6,0,0,1,1,2,1,2,0,200,256,271,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
